,Multiplication KL Divergence Poisson,Multiplication Euclidean Poisson,Multiplication KL Divergence Normal,Multiplication Euclidean Normal
0,0.1592877861740109,0.15928664859651417,0.15747422495090097,0.15731174086090893
1,0.15827505382931373,0.1580711916579191,0.15600008425247594,0.15675341407179952
2,0.15914469775882456,0.15904488543062412,0.15683130818908192,0.15677055524675032
0,0.15941662597335512,0.1595884656509827,0.1572284137304376,0.15753497193351557
1,0.1594069293217566,0.1593994418566419,0.1570195385854965,0.1573096204849816
2,0.15894881102456723,0.15872867894498444,0.15633681222854637,0.15649239896577963
0,0.1598181839343791,0.15998666112480825,0.15879320020554896,0.15782880785459608
1,0.15949679937495811,0.16036173603905726,0.15777713494519113,0.15756263347119062
2,0.15893161552459456,0.1591831657799992,0.15678135571718282,0.1565159776403967
0,0.15815585963730547,0.15828833716393906,0.15669905387008512,0.1561266595547528
1,0.15945020530989423,0.1599565038385765,0.15750358680230456,0.15735065305450405
2,0.15913462026693032,0.15891970968353936,0.15672948799538378,0.15634086232761765
0,0.15914791590204797,0.15953456882817355,0.157243663843264,0.15688956092880021
1,0.15958056171199222,0.15995329946401746,0.15752190130840926,0.1571270932776897
2,0.15956082984509878,0.1596494839176467,0.15775012987667322,0.15709366702182778
0,0.1595171307124793,0.15982162283272003,0.15764490732410424,0.1576075272502121
1,0.15907322930137682,0.15947288800232892,0.15737150700048055,0.15775035056555428
2,0.158903697017129,0.15922334363246562,0.15715948568623503,0.15654090815354046
0,0.15913969697659539,0.15961469846535453,0.1575209112236016,0.15694664823747476
1,0.15937622310518001,0.1594441875324507,0.1572032458151605,0.15737717606535728
2,0.15966662974827053,0.1598865708080283,0.1577126888664582,0.15745875651915442
0,0.1580719992232114,0.15837589465177868,0.15622633441461162,0.15648491263606498
1,0.15966923950741407,0.15956456166360478,0.15800782461281251,0.15771734824008274
2,0.1587431285324399,0.15968005833902754,0.15738221486088927,0.1571039650244607
0,0.15871182802567643,0.15948501056735112,0.15730891917477896,0.15661129698958118
1,0.15901166330316147,0.1589524046612401,0.15670828912769316,0.15658785333914318
2,0.15906324830711188,0.15915433119244207,0.1568870281163353,0.15693720050708612
0,0.158855405106216,0.15925109879008828,0.15694854039138453,0.15644044310226923
1,0.15906221803447412,0.15932990417165685,0.15653636150611744,0.15663218008009244
2,0.15921089783030373,0.15979085323062586,0.1570169005946261,0.15702908822296932
0,0.15925037447364027,0.15949221387530443,0.1574104145570133,0.15720059193075728
1,0.15908915324913217,0.1589704179134129,0.1569838644958329,0.15698700225182857
2,0.1599551125542998,0.16027332134903133,0.15812444796874972,0.1578196359680001
0,0.15980300221483398,0.159856447883828,0.15792930786185033,0.15735053862121218
1,0.15934705771714724,0.15972314966983617,0.15705966402772792,0.1573635583686692
2,0.15988153252694445,0.1600767890548108,0.15739722807651615,0.15754948404608138
0,0.15832748131410662,0.15855730342635402,0.15628447083011412,0.1561981492565999
1,0.1592542951070673,0.15928925788233464,0.15754031524419113,0.15732737284499065
2,0.15916970501285976,0.15931561332728839,0.15730529074779528,0.15690414801514896
0,0.15953772374511582,0.1603858280525397,0.15759255564605565,0.15763125849311224
1,0.15841504926929217,0.15886923868175942,0.1565059638460564,0.15665947912206743
